ARG, Death rates (period 5x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1999        0             0.018979        0.023667        0.021381
1990-1999      1-4             0.000787        0.000927        0.000858
1990-1999      5-9             0.000247        0.000337        0.000292
1990-1999     10-14            0.000261        0.000403        0.000333
1990-1999     15-19            0.000465        0.001030        0.000751
1990-1999     20-24            0.000607        0.001479        0.001046
1990-1999     25-29            0.000746        0.001658        0.001204
1990-1999     30-34            0.000964        0.001875        0.001416
1990-1999     35-39            0.001369        0.002435        0.001892
1990-1999     40-44            0.002077        0.003729        0.002886
1990-1999     45-49            0.003082        0.005996        0.004511
1990-1999     50-54            0.004536        0.009560        0.006984
1990-1999     55-59            0.006487        0.014632        0.010386
1990-1999     60-64            0.009819        0.022387        0.015683
1990-1999     65-69            0.015201        0.032908        0.023171
1990-1999     70-74            0.024436        0.048320        0.034616
1990-1999     75-79            0.043182        0.074057        0.055411
1990-1999     80-84            0.074666        0.113532        0.088452
1990-1999     85-89            0.128624        0.174518        0.143204
1990-1999     90-94            0.210281        0.256625        0.223285
1990-1999     95-99            0.323390        0.364254        0.333898
1990-1999    100-104           0.448210        0.474898        0.454408
1990-1999    105-109           0.645918        0.759785        0.669273
1990-1999    110+              0.000000              .        0.000000
2000-2009        0             0.013203        0.016115        0.014698
2000-2009      1-4             0.000568        0.000646        0.000608
2000-2009      5-9             0.000226        0.000285        0.000256
2000-2009     10-14            0.000247        0.000354        0.000301
2000-2009     15-19            0.000441        0.001057        0.000754
2000-2009     20-24            0.000496        0.001447        0.000976
2000-2009     25-29            0.000596        0.001466        0.001033
2000-2009     30-34            0.000815        0.001651        0.001234
2000-2009     35-39            0.001177        0.002087        0.001630
2000-2009     40-44            0.001767        0.003029        0.002389
2000-2009     45-49            0.002732        0.004929        0.003801
2000-2009     50-54            0.004264        0.008233        0.006181
2000-2009     55-59            0.006317        0.012925        0.009479
2000-2009     60-64            0.009344        0.019856        0.014267
2000-2009     65-69            0.013877        0.029584        0.020942
2000-2009     70-74            0.022099        0.045054        0.031836
2000-2009     75-79            0.037618        0.069378        0.050053
2000-2009     80-84            0.070922        0.111302        0.085247
2000-2009     85-89            0.129242        0.180846        0.144906
2000-2009     90-94            0.207421        0.264583        0.221953
2000-2009     95-99            0.317540        0.372391        0.329461
2000-2009    100-104           0.439968        0.490690        0.449468
2000-2009    105-109           0.586474        0.718218        0.607952
2000-2009    110+              1.599222              .        1.599222
2010-2013        0             0.010477        0.012593        0.011564
2010-2013      1-4             0.000435        0.000519        0.000478
2010-2013      5-9             0.000184        0.000233        0.000209
2010-2013     10-14            0.000233        0.000326        0.000281
2010-2013     15-19            0.000470        0.001173        0.000827
2010-2013     20-24            0.000516        0.001586        0.001058
2010-2013     25-29            0.000584        0.001491        0.001042
2010-2013     30-34            0.000775        0.001553        0.001165
2010-2013     35-39            0.001087        0.001903        0.001495
2010-2013     40-44            0.001654        0.002733        0.002192
2010-2013     45-49            0.002576        0.004254        0.003405
2010-2013     50-54            0.003931        0.007081        0.005452
2010-2013     55-59            0.006011        0.011604        0.008676
2010-2013     60-64            0.009300        0.018333        0.013528
2010-2013     65-69            0.013918        0.027986        0.020312
2010-2013     70-74            0.021138        0.041223        0.029757
2010-2013     75-79            0.033999        0.061779        0.044947
2010-2013     80-84            0.063135        0.101821        0.076702
2010-2013     85-89            0.126608        0.179347        0.142678
2010-2013     90-94            0.277858        0.391473        0.304702
2010-2013     95-99            0.401576        0.504063        0.421387
2010-2013    100-104           0.511012        0.615627        0.527926
2010-2013    105-109           0.664773        0.846105        0.689584
2010-2013    110+              1.311754        6.000000        1.331954
